VENDOR,CLUSTER_AREA,SITE_NAME,SITE_DESCRIPTION,CELLNAME,LATITUDE,LONGITUDE,AZIMUTH,TECH,CARRIER,ACTSTATUS,FWA_SITE,GOLDEN_SITE
VEND-4,CLUST-32,SITE_449,Queenstown Rd,SITE_449_CELL-C,-36.921267,174.767247,350,FDD,L2100,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_450,Queenstown Rd,SITE_450_CELL-A,-36.921267,174.767247,110,FDD,L700,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_450,Queenstown Rd,SITE_450_CELL-B,-36.921267,174.767247,210,FDD,L700,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_450,Queenstown Rd,SITE_450_CELL-C,-36.921267,174.767247,350,FDD,L700,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_450,Queenstown Rd,SITE_450_CELL-A,-36.921267,174.767247,110,FDD,L1800,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_450,Queenstown Rd,SITE_450_CELL-B,-36.921267,174.767247,210,FDD,L1800,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_450,Queenstown Rd,SITE_450_CELL-C,-36.921267,174.767247,350,FDD,L1800,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_451,Titirangi North,SITE_451_CELL-A,-36.921206,174.659584,30,FDD,L2100,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_451,Titirangi North,SITE_451_CELL-B,-36.921206,174.659584,180,FDD,L2100,ACTIVE,NO,NO
VEND-1,CLUST-10,SITE_452,Greytown,SITE_452_CELL-A,-41.080612,175.45938,90,TDD,L2300 - Q,ACTIVE,NO,NO
VEND-1,CLUST-10,SITE_452,Greytown,SITE_452_CELL-A,-41.080612,175.45938,90,TDD,L2300 - R,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_451,Titirangi North,SITE_451_CELL-C,-36.921206,174.659584,275,FDD,L2100,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_451,Titirangi North,SITE_451_CELL-A,-36.921206,174.659584,30,FDD,L700,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_451,Titirangi North,SITE_451_CELL-B,-36.921206,174.659584,180,FDD,L700,ACTIVE,NO,NO
VEND-1,CLUST-1,SITE_451,Titirangi North,SITE_451_CELL-C,-36.921206,174.659584,275,FDD,L700,ACTIVE,NO,NO
VEND-1,CLUST-10,SITE_452,Greytown,SITE_452_CELL-B,-41.080612,175.45938,210,TDD,L2300 - Q,ACTIVE,NO,NO
