VENDOR,CLUSTER_AREA,SITE_NAME,SITE_DESCRIPTION,CELLNAME,LATITUDE,LONGITUDE,AZIMUTH,TECH,CARRIER,ACTSTATUS,FWA_SITE,GOLDEN_SITE
SAMSUNG,WN Outer 1,SITE_39,Appleton Park,WAPPF3_J,-41.286777,174.754421,340,FDD,L700,ACTIVE,NO,NO
SAMSUNG,WN Outer 1,SITE_39,Appleton Park,WAPPF3_L,-41.286777,174.754421,340,FDD,L1800,ACTIVE,NO,NO
NOKIA,Manawatu 2,SITE_41,Aramoho,CAMOJ3_Q,-39.907988,175.053446,310,TDD,L2300 - Q,ACTIVE,NO,NO
NOKIA,Manawatu 2,SITE_41,Aramoho,CAMOJ3_R,-39.907988,175.053446,310,TDD,L2300 - R,ACTIVE,NO,NO
NOKIA,Manawatu 2,SITE_41,Aramoho,CAMOJ1_N,-39.907988,175.053446,65,FDD,L2600,ACTIVE,NO,NO
NOKIA,Manawatu 2,SITE_41,Aramoho,CAMOJ2_N,-39.907988,175.053446,185,FDD,L2600,ACTIVE,NO,NO
CLUST-1,Nelson,SITE_42,Arapiki,SAPKA1_M,-41.308493,173.247212,145,FDD,L2100,ACTIVE,NO,NO
CLUST-1,Nelson,SITE_42,Arapiki,SAPKA2_M,-41.308493,173.247212,295,FDD,L2100,ACTIVE,NO,NO
NOKIA,Manawatu 2,SITE_41,Aramoho,CAMOJ3_N,-39.907988,175.053446,310,FDD,L2600,ACTIVE,NO,NO
RCG,Waikato,SITE_43,Arapuni,RWKAPU021,-38.07967,175.657251,0,FDD,2D - L700,ACTIVE,NO,NO
RCG,Waikato,SITE_43,Arapuni,RWKAPU023,-38.07967,175.657251,240,FDD,2D - L700,ACTIVE,NO,NO
NOKIA,Manawatu 2,SITE_41,Aramoho,CAMOJ1_J,-39.907988,175.053446,65,FDD,L700,ACTIVE,NO,NO
NOKIA,Manawatu 2,SITE_41,Aramoho,CAMOJ2_J,-39.907988,175.053446,185,FDD,L700,ACTIVE,NO,NO
NOKIA,Manawatu 2,SITE_41,Aramoho,CAMOJ3_J,-39.907988,175.053446,310,FDD,L700,ACTIVE,NO,NO
NOKIA,Manawatu 2,SITE_41,Aramoho,CAMOJ1_L,-39.907988,175.053446,65,FDD,L1800,ACTIVE,NO,NO
NOKIA,Manawatu 2,SITE_41,Aramoho,CAMOJ2_L,-39.907988,175.053446,185,FDD,L1800,ACTIVE,NO,NO
NOKIA,Manawatu 2,SITE_41,Aramoho,CAMOJ3_L,-39.907988,175.053446,310,FDD,L1800,ACTIVE,NO,NO
RCG,Northland,SITE_44,Aranga,RNLAGA011,-35.731099,173.574303,20,FDD,L700,ACTIVE,NO,NO
RCG,Northland,SITE_44,Aranga,RNLAGA012,-35.731099,173.574303,120,FDD,L700,ACTIVE,NO,NO
RCG,Northland,SITE_44,Aranga,RNLAGA013,-35.731099,173.574303,310,FDD,L700,ACTIVE,NO,NO
CLUST-1,Nelson,SITE_42,Arapiki,SAPKA1_L,-41.308493,173.247212,145,FDD,L1800,ACTIVE,NO,NO
CLUST-1,Nelson,SITE_42,Arapiki,SAPKA2_L,-41.308493,173.247212,295,FDD,L1800,ACTIVE,NO,NO
RCG,Northland,SITE_45,Arcadian,RNLARC031,-35.953074,174.364649,230,FDD,OneNZ - L700,ACTIVE,NO,NO
RCG,Northland,SITE_45,Arcadian,RNLARC032,-35.953074,174.364649,350,FDD,OneNZ - L700,ACTIVE,NO,NO
RCG,Waikato,SITE_43,Arapuni,RWKAPU111,-38.07967,175.657251,0,FDD,L1800,ACTIVE,NO,NO
RCG,Waikato,SITE_43,Arapuni,RWKAPU011,-38.07967,175.657251,0,FDD,L700,ACTIVE,NO,NO
RCG,Waikato,SITE_43,Arapuni,RWKAPU012,-38.07967,175.657251,130,FDD,L700,ACTIVE,NO,NO
RCG,Waikato,SITE_43,Arapuni,RWKAPU013,-38.07967,175.657251,240,FDD,L700,ACTIVE,NO,NO
CLUST-1,Otago 3,SITE_46,Ardlui,SADLA1_J,-45.628953,170.089749,0,FDD,L700,ACTIVE,NO,NO
CLUST-1,Otago 3,SITE_46,Ardlui,SADLA2_J,-45.628953,170.089749,10,FDD,L700,ACTIVE,NO,NO
VEND-2,CLUST-2,SITE_32,Pukekohe West,APUWF2_M,-37.210019,174.889612,150,FDD,L2100,ACTIVE,NO,NO
VEND-2,CLUST-2,SITE_32,Pukekohe West,APUWF3_M,-37.210019,174.889612,270,FDD,L2100,ACTIVE,NO,NO
VEND-2,CLUST-2,SITE_32,Pukekohe West,APUWF1_J,-37.210019,174.889612,30,FDD,L700,ACTIVE,NO,NO
VEND-2,CLUST-2,SITE_32,Pukekohe West,APUWF2_J,-37.210019,174.889612,150,FDD,L700,ACTIVE,NO,NO
VEND-2,CLUST-2,SITE_32,Pukekohe West,APUWF3_J,-37.210019,174.889612,270,FDD,L700,ACTIVE,NO,NO
